Timestamp,Dog code,Assessor,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Data Collection Date,Data Collection Number
11/5/2019 20:39:55,07-02-LH,Marinara,00:25,4 - Constantly,1 - Never,2 - Rarely,NA,NA,01:21,Somewhat distracted,3 - occasionally,"2 - lead tense, weight evenly distributed over all 4 paws",2 - Dog walks out with the handler,02:28,1,4 - Excellent,03:15,2,3 - Good,04:21,4,3 - Good,2 - slightly unsettled,05:12,05:27,1 - Escaping/Not willing,No,No,05:58,14:55,Yes,Yes,No,No,No,Yes,No,No,No,No,07:06,07:47,1,3,3,5,5,2,2,4,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",08:18,08:44,4 - Overly interested,09:08,Both,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",09:51,10:12,"1 - Not interest in dog, does not move,",1 - on the first command,10:35,11:00,1 - without any reinforcement,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,12:03,12:16,1,Sometimes,12:45,12:53,3 - Occasionally,3 - Occasionally,2 - Rarely,1 - Never,1 - Never,No,13:57,14:28,08:41; 09:04,01:40; 06:04; 14:14,NA,na,NA,NA,05:50,NA,NA,NA,29/07/2019,1
11/14/2019 17:39:52,07-01-LG,Hazel,00:18,1 - Never,4 - Constantly,2 - Rarely,01:11,2 - on the second or more,01:27,Somewhat distracted,2 - rare,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,06:54,2,3 - Good,03:53,1,4 - Excellent,04:46,7,1 - Poor,1 - very unsettled,07:38,07:46,4 - Willing,No,No,08:15,08:32,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,08:51,09:35,6,5,3,5,5,2,2,6,4 - frequent,4 - back legs are stretched and one or more front paws raised off the floor,10:32,10:58,3 - Very interested,11:40,Left,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,12:05,12:28,4 - Moves towards dog after sometime,1 - on the first command,12:58,13:11,1 - without any reinforcement,3 - Occasionally,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,14:21,14:34,2,Never,14:47,14:55,3 - Occasionally,3 - Occasionally,2 - Rarely,2 - Rarely,1 - Never,No,16:01,16:38,NA,00:21; 12:57,NA,11:33; 15:10,11:35,NA,NA,NA,NA,NA,29/07/2019,1
1/15/2020 17:17:53,05-01-LD,Hazel,00:25,1 - Never,4 - Constantly,1 - Never,1:15,3 - did not respond accordingly;,01:32,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",3 - Dog walks out after the handler,2:58,1,3 - Good,3:40,2,3 - Good,4:26,4,1 - Poor,1 - very unsettled,5:27,5:50,3 - Cooperative,No,No,6:25,6:37,No,Yes,No,Yes,No,No,Yes,No,Yes,No,7:08,7:42,5,1,2,6,4,2,3,3,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",8:39,9:10,4 - Overly interested,9:43,None,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",10:00,10:32,"6 - Very excited, runs after dog instantly",2 - on the second command or more,11:05,12:05,"4 - won't go in, almost forced/did not go",1 - Never,1 - Never,4 - Constantly,1 - Never,1 - Never,1 - Never,4 - Constantly,Extremely Anxious,No,12:34,12:47,3,Never,13:12,13:30,4 - Constantly,1 - Never,1 - Never,1 - Never,4 - Constantly,No,14:00,14:35,9:20; 9:21; 9:27,01:23,n/a,na,n/a,12:16-12:30; 13:29-14:00,n/a,n/a,n/a,n/a,22/05/2019,1
1/15/2020 17:21:00,04-02-LE,Con,00:01,4 - Constantly,1 - Never,3 - Occasionally,01:37,NA,01:40,Mostly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,03:41,1,4 - Excellent,02:48,1,4 - Excellent,04:18,1,4 - Excellent,3 - slightly settled,05:16,05:55,4 - Willing,No,No,06:40,06:55,Yes,Yes,No,No,No,Yes,No,No,No,No,07:17,07:46,1,2,3,1,3,2,2,3,2 - rare,"1 - lead relaxed, dog not straining against the lead",08:20,08:43,3 - Very interested,09:07,NA,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",09:21,09:51,"3 - Interested in dog, does not move",0 - does not leave trainer's side/comes back without being called,10:18,10:26,1 - without any reinforcement,3 - Occasionally,4 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,12:07,12:09,1,Never,12:44,12:52,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,No,14:20,15:03,NA,00:19;  02:05,NA,na,NA,NA,NA,NA,NA,NA,20/05/2019,1
1/15/2020 17:49:42,05-04-LZ,Hazel,0:11,3 - Occasionally,2 - Rarely,3 - Occasionally,1:39,1 - on the first command,01:45,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,3:20,1,4 - Excellent,4:02,1,4 - Excellent,4:50,1,4 - Excellent,NA,5:30,5:52,4 - Willing,No,No,6:21,6:39,Yes,Yes,No,No,No,Yes,No,No,No,No,7:05,7:31,3,3,2,5,1,2,3,4,2 - rare,"3 -  head extended forward and pushing, and all paws on the floor",8:20,8:43,3 - Very interested,9:34,Righ,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",9:52,10:45,4 - Moves towards dog after sometime,1 - on the first command,11:05,11:45,2 - needs some reinforcement,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,2 - Rarely,1 - Never,1 - Never,Relaxed/Indifferent,No,12:44,12:57,2,Never,13:17,13:33,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,No,14:39,15:17,n/a,13:16,n/a,na,n/a,n/a,n/a,n/a,n/a,n/a,22/05/2019,1
1/15/2020 17:52:24,05-01-LD,Con,00:25,1 - Never,4 - Constantly,1 - Never,01:16,2 - on the second or more,01:33,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,02:56 ,1,4 - Excellent,03:38,2,3 - Good,04:26,3,2 - Not great,3 - slightly settled,05:29,05:51,3 - Cooperative,No,No,06:27,06:37,No,Yes,Yes,No,No,No,Yes,No,Yes,No,07:08,07:43,5,2,2,6,2,2,3,4,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",08:38,09:09,4 - Overly interested,09:434 ,None,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,10:00,10:32,"5 -  Curious, moves towards dog immediately",2 - on the second command or more,10:54,11:58 ,3 - needs a lot of reinforcement,2 - Rarely,1 - Never,3 - Occasionally,1 - Never,1 - Never,4 - Constantly,4 - Constantly,Extremely Anxious,No,12:30,12:44,1,Always,13:14,13:28,4 - Constantly,1 - Never,1 - Never,1 - Never,4 - Constantly,No,14:02,14:34,09:30-09:33,01:25,NA,12:16-12:30,13:29; 13:39; 13:49; 13:51; 13:56,12:16-12:30; 13:41-13:46,na,na,na,na,22/05/2019,1
1/15/2020 18:31:42,05-04-LZ,Con,00:17,3 - Occasionally,2 - Rarely,4 - Constantly,01:40,NA,01:48,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,03:21,1,4 - Excellent,04:01,1,4 - Excellent,04:52,1,4 - Excellent,"4 - very settled,almost asleep",5:30,05:53,3 - Cooperative,No,No,06:21,06:40,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:32,3,2,2,6,1,2,3,2,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",08:20,08:44,2 - Mostly interested,09:36,Righ,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",09:52,10:46,4 - Moves towards dog after sometime,2 - on the second command or more,11:05,11:44,2 - needs some reinforcement,3 - Occasionally,3 - Occasionally,1 - Never,2 - Rarely,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,12:40,12:56,1,Never,13:21,13:30,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,No,14:40,15:18,NA,13:18,NA,na,NA,NA,NA,NA,NA,NA,22/05/2019,1
1/15/2020 18:35:52,04-02-LE,Hazel,0:00,4 - Constantly,,,1:37,NA,01:40,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,3:40,1,3 - Good,2 :52 ,1,4 - Excellent,4:25,1,4 - Excellent,3 - slightly settled,5:15,6:06,3 - Cooperative,No,No,6:39,6:54,Yes,Yes,No,No,No,Yes,No,No,No,No,7:18,7:47,1,2,3,1,3,2,2,3,1 - not observed,"1 - lead relaxed, dog not straining against the lead",8:20,8:42,3 - Very interested,9:09,NA,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",9:19,9:52,"1 - Not interest in dog, does not move,",0 - does not leave trainer's side/comes back without being called,10:15,10:34,1 - without any reinforcement,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,12:08,12:10,2,Never,12:44,12:52,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,1 - Never,No,14:20,15:04,n/a,00:18; 02:04; 08:03; 12:44,n/a,na,n/a,n/a,n/a,n/a,n/a,n/a,20/05/2019,1
1/16/2020 11:21:18,04-07-LE,Con,00:24,3 - Occasionally,3 - Occasionally,3 - Occasionally,1:09,NA,01:15,Somewhat distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,2:22,1,4 - Excellent,3:12,1,4 - Excellent,4:02,3,2 - Not great,3 - slightly settled,5:26,5:40,3 - Cooperative,No,No,6:12,6:45,Yes,Yes,No,No,No,Yes,No,No,No,No,7:11,7:55,3,2,3,5,2,1,2,5,3 - sometimes,"2 - lead tense, weight evenly distributed over all 4 paws",8:33,08:49,3 - Very interested,09:40,None,3 - Interacts with kong continuously,2 - Moves away from assessor,"2 - Upset, but let it go",09:58,10:28,"1 - Not interest in dog, does not move,",0 - does not leave trainer's side/comes back without being called,11:04,11:17,1 - without any reinforcement,2 - Rarely,4 - Constantly,2 - Rarely,4 - Constantly,1 - Never,2 - Rarely,1 - Never,Uneasy but cooperative,No,12:13,12:21,3,Never,12:48,13:07,4 - Constantly,1 - Never,1 - Never,2 - Rarely,1 - Never,No,14:20,15:15,NA,00:34,NA,11:58;13:59,NA,NA,NA,NA,NA,NA,22/05/2019,1
1/16/2020 11:30:30,05-11-LE,Hazel,0:00 ,3 - Occasionally,3 - Occasionally,1 - Never,00:58,1 - on the first command,1:07,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,2:35,1,3 - Good,3:07,1,4 - Excellent,4:41,1,4 - Excellent,3 - slightly settled,4:40,4:48,4 - Willing,No,No,5:22,5:35,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,5:59,6:35,2,4,3,5,2,3,2,3,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",7:22,7:48,3 - Very interested,8:28,Righ,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",8:49,9:10,4 - Moves towards dog after sometime,3 - does not respond accordingly,9:40,9:52,1 - without any reinforcement,3 - Occasionally,1 - Never,2 - Rarely,1 - Never,1 - Never,2 - Rarely,1 - Never,Uneasy but cooperative,No,11:05,12:22,2,Never,12:41,11:17,4 - Constantly,1 - Never,1 - Never,2 - Rarely,1 - Never,No,12:11,13:05,05:31; 05:48; 07:06; 11:18,08:59,n/a,10:00; 10:06; 11:54,n/a,n/a,n/a,n/a,n/a,02:55; 03:28; 04:37,13/06/2019,1
1/16/2020 11:56:35,05-03-LF,Con,00:10,2 - Rarely,4 - Constantly,1 - Never,01:11,1 - on the first command,01:19 ,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,02:42,1,4 - Excellent,03:16,1,4 - Excellent,3:47,1,4 - Excellent,"4 - very settled,almost asleep",04:49,05:00,3 - Cooperative,Yes,Yes,05:38,06:49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,07:55,08:39,5,3,3,5,3,3,4,4,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",09:35,09:51,3 - Very interested,10:30,None,3 - Interacts with kong continuously,1 - Stays close to assessor,"3 - Very upset, but let it go",11:06,12:07,"6 - Very excited, runs after dog instantly",1 - on the first command,12:31,12:53,1 - without any reinforcement,2 - Rarely,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Uneasy but cooperative,No,13:58,13:59,3,Never,14:26,14:37,4 - Constantly,2 - Rarely,1 - Never,1 - Never,1 - Never,No,15:34,16:13,07:58; 11:37,0:25,NA,na,NA,NA,NA,NA,NA,NA,29/05/2019,1
1/16/2020 12:17:24,05-11-LE,Con,00:05,3 - Occasionally,3 - Occasionally,3 - Occasionally,00:58,1 - on the first command,01:07,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,02:36,1,4 - Excellent,03:09,1,4 - Excellent,03:41,1,4 - Excellent,"4 - very settled,almost asleep",04:42,04:48,3 - Cooperative,No,No,05:23,05:34,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,06:00,06:36,3,3,3,5,2,1,1,3,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",07:22,07:47,3 - Very interested,08:27,NA,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",08:50,09:11,4 - Moves towards dog after sometime,2 - on the second command or more,09:39,09:49,1 - without any reinforcement,4 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,2 - Rarely,1 - Never,Relaxed/Indifferent,No,11:00,11:23,2,Sometimes,12:41,11:20,4 - Constantly,1 - Never,1 - Never,3 - Occasionally,1 - Never,No,11:14,13:06,05:50; 07:08; 11:19,na,na,10:03; 10:07; 11:37; 11:56,na,na,na,na,na,na,13/06/2019,1
1/16/2020 12:35:14,05-01-LD,Marinara,0:26,1 - Never,4 - Constantly,1 - Never,01:16,2 - on the second or more,01:32,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,02:58,1,4 - Excellent,03:40,2,3 - Good,04:29,3,3 - Good,2 - slightly unsettled,05:29,05:52,4 - Willing,No,No,06:26,06:37,No,Yes,Yes,No,No,No,Yes,Yes,No,No,07:07,07:43,4,2,2,5,3,2,3,3,3 - sometimes,"3 -  head extended forward and pushing, and all paws on the floor",08:40,09:10,4 - Overly interested,09:43,None,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,10:01,10:36,"5 -  Curious, moves towards dog immediately",2 - on the second command or more,15:00, 12:04,3 - needs a lot of reinforcement,1 - Never,1 - Never,4 - Constantly,1 - Never,1 - Never,1 - Never,4 - Constantly,Anxious,No,12:35,12:37,2,Sometimes,13:13,13:30,4 - Constantly,1 - Never,2 - Rarely,1 - Never,4 - Constantly,No,14:00,14:34,9:20-9:22,01:23-01:25; 12:55-12:57,NA,na,12:17; 13:29,12:18-12:31;13:38-14:00,NA,NA,NA,NA,22/05/2019,1
1/16/2020 12:37:53,05-13-LE,Con,00:16,4 - Constantly,2 - Rarely,3 - Occasionally,01:37,1 - on the first command,01:41,Somewhat distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,03:02,1,4 - Excellent,03:50,1,4 - Excellent,4:40,1,4 - Excellent,"4 - very settled,almost asleep",05:27,05:38,3 - Cooperative,No,No,06:12,06:25,Yes,No,No,No,No,Yes,No,No,No,No,06:54,07:30,3,3,4,5,2,3,2,4,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",08:16,08:39,3 - Very interested,09:29,Righ,2 - Interacts with kong but loses interest,1 - Stays close to assessor,1 - Not bothered to let it go,09:47,10:13,4 - Moves towards dog after sometime,2 - on the second command or more,10:36,11:22,3 - needs a lot of reinforcement,1 - Never,2 - Rarely,4 - Constantly,2 - Rarely,1 - Never,4 - Constantly,4 - Constantly,Extremely Anxious,No,12:26,12:31,2,Never,12:45,12:52,3 - Occasionally,3 - Occasionally,3 - Occasionally,3 - Occasionally,3 - Occasionally,No,13:55,14:27,na,00:18,na,11:37-11:52; 12:00; 12;11; 12:15; 13:05; 13:13; 13:29,12:01; 13:06; 13:11; 13:15,11:38-11:52; 12:14-12:18,na,na,na,na,13/06/2019,1
1/16/2020 12:54:48,05-13-LE,Hazel,00:15,2 - Rarely,3 - Occasionally,2 - Rarely,1:36,1 - on the first command,01:41,Somewhat distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,3:02,2,3 - Good,3:49,1,4 - Excellent,4:40,1,4 - Excellent,3 - slightly settled,5:26,5:39,3 - Cooperative,No,No,6:11,6:26,Yes,No,No,No,No,Yes,No,No,No,No,6:52,7:30,4,4,4,5,2,2,2,4,2 - rare,"3 -  head extended forward and pushing, and all paws on the floor",8:17,8:41,3 - Very interested,9:29,Righ,2 - Interacts with kong but loses interest,1 - Stays close to assessor,1 - Not bothered to let it go,9:47,10:15,4 - Moves towards dog after sometime,2 - on the second command or more,10:47,11:27,3 - needs a lot of reinforcement,1 - Never,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,1 - Never,3 - Occasionally,Extremely Anxious,No,12:27,12:30,2,Never,12:45,12:54,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,2 - Rarely,No,13:50,14:27,n/a,00:18; 10:01,n/a,na,11:58; 13:05; 13:11; 13:14,11:37-11:54; 12:14- 12:19,n/a,n/a,n/a,n/a,13/06/2019,1
1/16/2020 13:23:33,05-03-LF,Hazel,00:09,2 - Rarely,4 - Constantly,1 - Never,1:10,1 - on the first command,01:18,Somewhat distracted,2 - rare,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,2:43,1,4 - Excellent,3:16,1,4 - Excellent,3:47,1,4 - Excellent,3 - slightly settled,4:49,5:00,2 - Reluctant,Yes,Yes,5:38,6:50,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,7:54,8:39,5,3,3,6,2,3,4,5,3 - sometimes,4 - back legs are stretched and one or more front paws raised off the floor,9:35,9:51,3 - Very interested,10:30,None,3 - Interacts with kong continuously,2 - Moves away from assessor,"3 - Very upset, but let it go",11:06,11:58,"6 - Very excited, runs after dog instantly",1 - on the first command,12:35,12:55,1 - without any reinforcement,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,13:56,13:58,3,Never,14:14,14:39,3 - Occasionally,2 - Rarely,1 - Never,1 - Never,1 - Never,No,15:30,16:13,6:44; 7:19; 7:21; 7:35; 7:56; 8:03; 8:12; 9:19; 9:47; 15:33; 15:41,00:25; 00:57; 6:33,n/a,na,n/a,n/a,n/a,n/a,n/a,04:06; 04:24,29/05/2019,1
1/16/2020 13:40:53,04-07-LE,Hazel,00:24,3 - Occasionally,3 - Occasionally,1 - Never,1:10,NA,01:14,Somewhat distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,2:17,1,4 - Excellent,3:12,1,3 - Good,4:02,3,1 - Poor,2 - slightly unsettled,5:26,5:39,3 - Cooperative,No,No,6:12,6:45,No,Yes,No,No,No,Yes,No,No,No,No,7:13,7:54,3,2,3,5,2,1,2,5,2 - rare,"3 -  head extended forward and pushing, and all paws on the floor",8:31,8:51,3 - Very interested,0:39,None,3 - Interacts with kong continuously,2 - Moves away from assessor,"2 - Upset, but let it go",9:58,10:26,"1 - Not interest in dog, does not move,",0 - does not leave trainer's side/comes back without being called,10:58,11:20,1 - without any reinforcement,2 - Rarely,2 - Rarely,1 - Never,3 - Occasionally,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,12:17,12:20,2,Never,12:50,13:08,4 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,14:17,15:15,n/a,00:34,n/a,na,n/a,n/a,n/a,n/a,n/a,01:19; 03:20; 09:07,22/05/2019,1
1/21/2020 17:04:57,04-08-LE,Con,00:12,3 - Occasionally,3 - Occasionally,2 - Rarely,01:12,1 - on the first command,01:18,Somewhat distracted,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",3 - Dog walks out after the handler,03:02,3,2 - Not great,05:23,1,4 - Excellent,04:11,1,4 - Excellent,"4 - very settled,almost asleep",06:23,06:30,3 - Cooperative,NA,NA,07:02,07:18,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,07:59,08:31,3,2,2,4,2,1,2,2,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",09:16,09:38,2 - Mostly interested,10:29,Left,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",10:54,11:15,4 - Moves towards dog after sometime,1 - on the first command,11:37,11:58,1 - without any reinforcement,2 - Rarely,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,3 - Occasionally,2 - Rarely,Uneasy but cooperative,No,13:25,13:29,1,Never,13:43,13:51,4 - Constantly,2 - Rarely,2 - Rarely,4 - Constantly,1 - Never,No,15:29,16:09,NA,00:36,NA,12:27; 12:37-12:43; 13:07; 14:00; 14:06; 14:22; 14:45; 15:01; 15:19,12:34,NA,NA,NA,NA,NA,18/06/2019,1
1/21/2020 17:30:12,05-02-LF,Con,00:23,1 - Never,4 - Constantly,1 - Never,01:20,1 - on the first command,01:28,Mostly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,04:17,2,3 - Good,02:30,2,2 - Not great,03:47,2,3 - Good,2 - slightly unsettled,05:00,05:14,2 - Reluctant,NA,NA,05:51,06:20,Yes,No,No,No,No,Yes,No,No,No,No,07:12,07:52,2,2,3,6,1,2,2,6,3 - sometimes,4 - back legs are stretched and one or more front paws off the floor,08:22,08:39,3 - Very interested,09: 18,None,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",09:35,10:02,4 - Moves towards dog after sometime,2 - on the second command or more,10:23,10:44,1 - without any reinforcement,1 - Never,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,3 - Occasionally,2 - Rarely,Anxious,No,11:51,11:55,1,Never,12:27,12:45,3 - Occasionally,3 - Occasionally,1 - Never,2 - Rarely,1 - Never,No,14:22,14:55,NA,01:05; 06:40,NA,09:11; 11:06-11:30; 11:40; 14:09,11:31,NA,NA,NA,NA,NA,23/05/2019,1
1/21/2020 17:54:58,05-14-LE,Con,00:08 ,2 - Rarely,4 - Constantly,1 - Never,01:09,1 - on the first command,01:14,Somewhat distracted,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",2 - Dog walks out with the handler,03:19,1,4 - Excellent,04:22,2,4 - Excellent,05:29,2,2 - Not great,3 - slightly settled,07:50,08:01,3 - Cooperative,No,No,08:41,08:56,Yes,Yes,No,No,No,No,Yes,Yes,No,No,09:23,09:55,1,2,2,1,1,3,2,1,1 - not observed,"1 - lead relaxed, dog not straining against the lead",10:30,10:54,2 - Mostly interested,11:33,Left,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,11:56,12:18,4 - Moves towards dog after sometime,1 - on the first command,12:44,12:55,1 - without any reinforcement,4 - Constantly,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,14:14,14:19,2,Never,14:34,14:47,4 - Constantly,1 - Never,2 - Rarely,1 - Never,1 - Never,No,15:48,16:23,NA,00:55; 01:18; 01:34;,NA,na,NA,NA,NA,NA,NA,NA,13/06/2019,1
1/21/2020 18:16:59,05-22-LE,Con,00:11,4 - Constantly,1 - Never,4 - Constantly,01:13,NA,01:19,Hardly distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks out with the handler,02:30,2,3 - Good,03:36,2,3 - Good,04:19,1,4 - Excellent,"4 - very settled,almost asleep",05:23,05:33,3 - Cooperative,No,No,06:04,06:18,Yes,Yes,Yes,No,No,Yes,No,No,No,No,06:51,07:20,1,2,2,1,2,3,1,2,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",08:01,08:20,2 - Mostly interested,09:11,Righ,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",09:34,09:56,"3 - Interested in dog, does not move",0 - does not leave trainer's side/comes back without being called,10:32,10:40,1 - without any reinforcement,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,Relaxed/Indifferent,No,12:11,12:13,1,Never,12:32,12:40,4 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,13:45,14:23,NA,06:15,na,na,na,na,na,na,na,na,18/06/2019,1
